75;8;36;
72;1;12;
17;34;1;

68;64;52;
10;58;78;
30;12;31;

93;43;26;
52;39;93;
9;16;88;

45;98;58;
17;42;38;
87;72;7;

58;82;79;
72;62;87;
23;37;34;

70;1;24;
28;96;48;
83;40;67;

18;75;50;
80;28;99;
78;25;65;

1;35;60;
48;21;89;
62;5;93;

63;43;82;
16;62;4;
3;45;95;

24;20;31;
26;55;39;
48;70;58;

34;46;99;
91;52;11;
17;35;35;

12;15;70;
96;3;63;
54;21;16;

87;23;74;
5;12;50;
95;21;91;

71;79;21;
84;0;77;
39;89;51;

9;80;51;
46;27;23;
91;26;62;

6;92;77;
96;26;47;
99;31;88;

39;49;28;
82;97;86;
88;5;89;

40;70;32;
85;57;57;
48;33;19;

84;60;95;
33;8;36;
61;17;76;

60;0;58;
22;29;25;
24;48;53;

72;50;66;
81;88;60;
36;75;9;

4;33;17;
36;22;97;
20;69;69;

47;47;11;
1;40;5;
28;53;83;

30;9;11;
15;10;98;
23;74;26;

90;82;10;
51;55;33;
79;69;11;

80;63;89;
17;46;53;
48;32;49;

92;83;42;
49;67;59;
61;91;19;

61;30;63;
72;57;23;
95;15;44;

80;41;32;
15;41;84;
25;47;51;

98;85;57;
83;38;60;
21;11;75;

46;97;0;
57;20;31;
68;61;52;

68;42;20;
59;56;91;
14;71;2;

1;3;28;
62;5;70;
97;92;99;

94;80;84;
59;18;88;
77;52;66;

65;45;69;
70;75;95;
81;78;78;

5;29;0;
31;12;73;
90;1;82;

39;97;49;
72;49;27;
64;89;40;

58;1;78;
68;21;37;
2;48;24;

58;13;70;
5;79;32;
12;56;23;

82;75;52;
13;6;15;
31;55;57;

95;38;58;
9;95;59;
68;35;30;

39;25;57;
57;56;61;
15;5;23;

14;88;13;
70;1;3;
38;95;19;

0;74;42;
53;24;76;
46;65;34;

42;89;72;
85;37;4;
75;73;71;

56;56;86;
3;97;55;
39;98;97;

95;63;51;
45;69;28;
48;85;48;

46;12;66;
73;28;98;
9;21;17;

88;12;93;
74;37;72;
99;29;16;

19;30;82;
43;23;15;
50;25;99;

19;82;41;
63;97;92;
71;34;76;

40;36;67;
83;12;35;
54;72;89;

13;44;10;
91;53;90;
12;95;67;

66;29;66;
74;12;92;
48;36;75;

78;15;79;
83;97;77;
75;67;95;

20;99;7;
66;27;85;
91;27;39;

67;92;38;
89;7;46;
88;62;41;

50;17;52;
34;66;75;
52;20;97;

71;45;56;
18;76;95;
53;81;12;

82;84;61;
93;80;40;
97;46;12;

42;81;3;
4;11;50;
98;28;49;

46;79;42;
14;0;69;
74;79;22;

47;91;25;
9;11;42;
73;57;31;

13;81;53;
35;22;53;
4;54;98;

41;39;91;
54;66;73;
78;28;14;

23;12;86;
5;45;42;
90;72;27;

19;91;49;
29;35;4;
88;20;13;

61;20;88;
95;88;72;
87;91;79;

80;9;16;
88;75;96;
90;24;40;

47;12;36;
93;82;47;
20;29;57;

89;5;17;
17;69;91;
76;45;2;

54;41;16;
43;2;72;
5;55;95;

0;43;41;
48;62;64;
20;6;68;

97;35;10;
33;47;96;
78;2;78;

60;15;66;
54;49;14;
1;10;90;

51;94;44;
78;42;92;
70;72;78;

94;13;87;
14;97;23;
14;60;94;

68;1;59;
38;84;40;
99;22;26;

42;64;37;
9;37;97;
69;22;25;

69;64;12;
47;6;16;
56;36;46;

49;55;56;
57;80;35;
62;0;9;

81;82;65;
84;92;28;
0;85;59;

31;47;3;
81;52;56;
60;92;65;

46;36;9;
66;48;95;
92;86;50;

35;18;48;
0;78;63;
45;1;97;

24;34;62;
90;90;49;
93;17;25;

90;28;27;
50;84;56;
88;38;89;

0;33;16;
94;57;2;
78;42;57;

58;2;17;
7;43;4;
44;44;95;

92;64;1;
97;85;3;
57;21;90;

46;94;68;
11;14;43;
94;80;33;

64;42;78;
94;42;79;
67;50;24;

44;64;0;
17;87;93;
61;61;68;

89;96;67;
25;95;39;
39;22;11;

9;10;63;
87;25;82;
39;61;69;

64;62;42;
6;6;77;
29;96;18;

64;76;48;
54;79;92;
96;83;66;

63;46;75;
46;18;88;
47;14;40;

56;18;28;
89;55;73;
2;9;82;

53;65;64;
90;98;89;
96;60;34;

