35;1;39;
61;71;6;
33;76;31;

22;68;11;
22;8;77;
5;61;20;

29;58;66;
33;12;24;
98;22;30;

95;99;35;
42;12;97;
37;94;26;

64;67;57;
97;69;66;
45;1;53;

1;39;9;
3;65;85;
10;53;58;

66;0;95;
66;84;68;
80;85;60;

10;76;54;
73;85;91;
90;11;93;

91;85;56;
94;68;24;
1;97;7;

74;73;71;
29;94;30;
75;4;38;

53;49;55;
63;4;50;
30;12;21;

54;29;9;
98;0;86;
31;2;91;

70;20;38;
66;2;32;
95;37;0;

71;4;11;
85;65;47;
87;38;61;

68;25;91;
7;98;92;
66;0;73;

60;85;51;
29;37;57;
73;80;39;

14;30;97;
72;47;14;
4;24;84;

59;55;55;
11;5;7;
2;28;36;

6;83;23;
33;82;38;
13;47;87;

60;46;50;
12;1;40;
96;47;31;

16;98;52;
23;61;48;
8;56;53;

99;39;56;
74;1;94;
73;44;65;

12;54;4;
78;59;35;
25;77;68;

95;47;46;
51;15;53;
67;31;30;

63;69;75;
2;68;32;
44;51;7;

82;9;95;
90;2;78;
4;42;79;

62;50;51;
79;76;51;
44;3;5;

85;76;33;
81;82;74;
88;56;29;

95;81;77;
75;33;39;
91;90;37;

71;56;12;
94;36;82;
93;59;92;

61;2;21;
58;31;6;
78;22;67;

39;40;29;
48;27;36;
75;14;18;

48;17;10;
16;90;18;
11;64;85;

90;69;45;
23;81;10;
80;90;38;

49;26;49;
51;35;46;
55;23;48;

40;67;24;
40;7;66;
29;86;84;

53;82;46;
22;84;39;
75;81;27;

36;52;63;
79;94;24;
23;95;86;

31;72;4;
38;80;56;
71;19;32;

79;15;27;
72;0;8;
0;77;51;

23;13;62;
34;64;98;
85;40;52;

20;3;81;
24;65;56;
9;53;26;

75;68;41;
69;85;35;
48;21;23;

50;37;7;
25;63;23;
28;64;22;

78;12;63;
27;19;62;
9;5;80;

78;79;1;
52;54;31;
57;97;50;

98;47;5;
28;58;82;
42;50;62;

93;13;50;
63;21;43;
52;92;10;

2;73;20;
47;48;35;
30;13;3;

19;10;28;
10;10;44;
4;18;73;

