48;90;90;
31;65;22;
80;78;32;

64;49;93;
62;49;16;
59;38;2;

14;25;77;
73;43;77;
17;68;33;

67;20;7;
46;42;14;
75;12;47;

7;63;97;
86;65;20;
30;46;40;

52;54;1;
1;28;7;
16;62;84;

80;85;73;
79;23;15;
53;87;74;

80;98;55;
96;65;71;
51;43;55;

24;14;88;
54;81;90;
42;8;13;

63;25;60;
59;50;17;
1;31;98;

53;18;92;
19;4;16;
54;24;64;

71;28;12;
49;55;10;
82;53;62;

98;11;81;
45;70;5;
68;60;96;

54;39;6;
9;79;50;
14;41;14;

68;38;0;
83;81;65;
38;97;51;

72;43;88;
88;86;23;
52;99;15;

13;80;38;
5;87;34;
32;24;21;

64;48;63;
18;76;53;
59;96;59;

79;64;0;
84;29;29;
72;48;30;

94;10;17;
3;32;27;
70;39;99;

19;65;1;
66;74;22;
40;5;8;

69;25;25;
77;63;77;
76;71;15;

62;98;11;
59;4;75;
23;31;18;

8;99;0;
37;56;76;
69;23;75;

22;99;30;
98;24;58;
69;71;34;

77;84;38;
28;1;94;
57;73;87;

0;4;69;
40;32;32;
23;88;41;

16;42;37;
35;88;94;
1;93;14;

76;29;25;
66;82;61;
65;92;81;

1;56;12;
6;20;59;
16;37;6;

72;93;64;
64;53;21;
27;9;24;

75;58;96;
56;50;30;
17;1;60;

26;82;13;
64;56;64;
23;28;7;

78;99;77;
16;63;64;
62;93;23;

82;76;24;
51;52;75;
31;29;34;

72;38;76;
62;29;53;
59;82;73;

45;6;80;
18;60;38;
33;57;18;

69;13;42;
23;20;13;
56;8;39;

6;14;6;
65;15;63;
84;97;82;

67;14;59;
46;32;91;
82;0;55;

40;19;35;
51;15;84;
66;58;76;

99;38;54;
73;78;56;
5;1;14;

30;35;28;
91;14;3;
3;9;71;

88;5;38;
43;54;83;
86;37;82;

28;0;0;
26;30;38;
29;92;88;

0;33;25;
57;63;12;
57;45;91;

58;61;58;
18;98;63;
75;29;78;

32;40;29;
92;16;59;
99;22;36;

27;94;45;
0;90;22;
77;85;39;

78;15;50;
60;55;2;
0;11;70;

